pitch_type,prev_pitch,prev_type,stand,balls,strikes,runner,outs_when_up,inning,run_diff
Hard,Hard,S,R,0,1,0,0,1,0
Breaking,Hard,B,R,1,1,0,0,1,0
Hard,Breaking,S,R,1,2,0,0,1,0
Hard,Hard,S,L,0,0,0,1,1,0
Hard,Hard,S,L,0,1,0,1,1,0
Breaking,Hard,S,L,0,2,0,1,1,0
Hard,Breaking,B,L,1,2,0,1,1,0
Breaking,Hard,X,R,0,0,0,2,1,0
Breaking,Breaking,S,R,0,1,0,2,1,0
Hard,Breaking,S,R,0,2,0,2,1,0
Hard,Hard,X,L,0,0,0,0,2,3
Breaking,Hard,B,L,1,0,0,0,2,3
Breaking,Breaking,B,L,2,0,0,0,2,3
Hard,Breaking,S,L,2,1,0,0,2,3
Hard,Hard,S,L,2,2,0,0,2,3
Hard,Hard,B,L,3,2,0,0,2,3
Hard,Hard,X,R,0,0,0,1,2,3
Breaking,Hard,S,R,0,1,0,1,2,3
Hard,Breaking,S,R,0,2,0,1,2,3
Hard,Hard,S,R,0,2,0,1,2,3
Breaking,Hard,X,L,0,0,0,2,2,3
Breaking,Breaking,S,L,0,1,0,2,2,3
Breaking,Breaking,S,L,0,2,0,2,2,3
Hard,Breaking,B,L,1,2,0,2,2,3
Breaking,Hard,X,L,0,0,0,2,2,2
Breaking,Breaking,B,L,1,0,0,2,2,2
Breaking,Breaking,X,R,0,0,0,0,3,2
Hard,Breaking,S,R,0,1,0,0,3,2
Breaking,Hard,B,R,1,1,0,0,3,2
Breaking,Breaking,S,R,1,2,0,0,3,2
Hard,Breaking,X,R,0,0,0,1,3,2
Breaking,Hard,S,R,0,1,0,1,3,2
Breaking,Breaking,S,R,0,2,0,1,3,2
Hard,Breaking,B,R,1,2,0,1,3,2
Hard,Hard,X,R,0,0,1,1,3,2
Breaking,Hard,S,R,0,1,1,1,3,2
Hard,Breaking,S,R,0,2,1,1,3,2
Hard,Hard,X,L,0,0,1,1,3,2
Breaking,Hard,X,R,0,0,0,1,3,-1
Breaking,Breaking,X,L,0,0,0,2,3,-1
Breaking,Breaking,B,L,1,0,0,2,3,-1
Breaking,Breaking,B,L,2,0,0,2,3,-1
Hard,Breaking,S,L,2,1,0,2,3,-1
Hard,Hard,B,L,3,1,0,2,3,-1
Hard,Hard,X,R,0,0,0,0,4,-1
Hard,Hard,S,R,0,1,0,0,4,-1
Hard,Hard,B,R,1,1,0,0,4,-1
Breaking,Hard,B,R,2,1,0,0,4,-1
Breaking,Breaking,S,R,2,2,0,0,4,-1
Breaking,Breaking,S,R,2,2,0,0,4,-1
Breaking,Breaking,S,L,0,0,0,1,4,-1
Hard,Breaking,S,L,0,1,0,1,4,-1
Hard,Hard,B,L,1,1,0,1,4,-1
Breaking,Hard,X,L,0,0,0,2,4,-1
Breaking,Breaking,B,L,1,0,0,2,4,-1
Breaking,Breaking,B,L,2,0,0,2,4,-1
Breaking,Breaking,X,R,0,0,0,0,5,-1
Hard,Breaking,S,R,0,1,0,0,5,-1
Breaking,Hard,S,R,0,2,0,0,5,-1
Breaking,Breaking,B,R,1,2,0,0,5,-1
Hard,Breaking,S,R,0,0,0,1,5,-1
Breaking,Hard,B,R,1,0,0,1,5,-1
Breaking,Breaking,S,R,1,1,0,1,5,-1
Breaking,Breaking,S,R,1,2,0,1,5,-1
Breaking,Breaking,S,R,1,2,0,1,5,-1
Breaking,Breaking,B,R,2,2,0,1,5,-1
Hard,Breaking,X,R,0,0,0,1,5,-2
Breaking,Hard,B,R,1,0,0,1,5,-2
Hard,Breaking,S,R,1,1,0,1,5,-2
Hard,Hard,B,R,2,1,0,1,5,-2
Hard,Hard,S,R,2,2,0,1,5,-2
Hard,Hard,S,R,2,2,0,1,5,-2
Breaking,Hard,X,L,0,0,0,2,5,-2
Hard,Breaking,B,L,1,0,0,2,5,-2
Soft,Hard,B,L,2,0,0,2,5,-2
Soft,Soft,B,L,3,0,0,2,5,-2
Breaking,Soft,S,L,3,1,0,2,5,-2
Breaking,Breaking,S,L,3,2,0,2,5,-2
Hard,Breaking,B,R,0,0,1,2,5,-2
Hard,Hard,S,R,0,1,1,2,5,-2
Breaking,Hard,S,R,0,2,1,2,5,-2
Hard,Breaking,X,L,0,0,0,0,1,0
Breaking,Hard,B,L,1,0,0,0,1,0
Hard,Breaking,B,L,2,0,0,0,1,0
Hard,Hard,S,L,2,1,0,0,1,0
Breaking,Hard,X,R,0,0,1,0,1,0
Hard,Breaking,S,R,0,1,1,0,1,0
Hard,Hard,S,R,0,2,1,0,1,0
Breaking,Hard,S,R,0,2,1,0,1,0
Hard,Breaking,S,R,0,2,1,0,1,0
Breaking,Hard,S,R,0,0,1,1,1,0
Breaking,Breaking,B,R,1,0,1,1,1,0
Breaking,Breaking,S,R,1,1,1,1,1,0
Hard,Breaking,B,R,2,1,1,1,1,0
Hard,Hard,X,L,0,0,1,1,1,0
Hard,Hard,B,L,1,0,1,1,1,0
Breaking,Hard,S,L,1,1,1,1,1,0
