pitch_type,prev_vel,prev_zone,prev_type,stand,balls,strikes,runner,outs_when_up,inning,run_diff
2-Seam Fastball,94.3,14,B,R,1,0,0,0,1,0
2-Seam Fastball,93.4,14,B,R,2,0,0,0,1,0
4-Seam Fastball,93.5,14,B,R,3,0,0,0,1,0
2-Seam Fastball,94.1,14,B,R,0,0,1,0,1,0
2-Seam Fastball,94.1,5,X,R,0,0,1,1,1,0
Slider,93.8,4,S,R,0,1,1,1,1,0
2-Seam Fastball,87.2,14,B,R,1,1,1,1,1,0
2-Seam Fastball,93.7,14,B,R,2,1,1,1,1,0
Slider,93.5,5,X,L,0,0,0,0,2,0
4-Seam Fastball,83.8,7,S,L,0,1,0,0,2,0
4-Seam Fastball,91.3,3,S,L,0,2,0,0,2,0
2-Seam Fastball,93.3,2,X,L,0,0,0,1,2,0
Slider,93.4,11,B,L,1,0,0,1,2,0
Changeup,81.8,13,B,L,2,0,0,1,2,0
2-Seam Fastball,83.2,13,B,L,3,0,0,1,2,0
2-Seam Fastball,92.9,5,S,L,3,1,0,1,2,0
Cutter,93.1,1,B,L,0,0,1,1,2,0
Cutter,91.8,6,S,L,0,1,1,1,2,0
Slider,91.6,5,S,L,0,2,1,1,2,0
2-Seam Fastball,85.2,11,B,L,1,2,0,2,2,0
Slider,93.1,14,B,L,2,2,0,2,2,0
Slider,86.2,7,S,R,0,0,0,0,3,0
Cutter,85.3,7,S,R,0,1,0,0,3,0
2-Seam Fastball,90.4,14,B,R,1,1,0,0,3,0
Slider,93.3,14,B,R,2,1,0,0,3,0
Slider,82.9,14,S,R,2,2,0,0,3,0
Slider,85.1,13,B,R,3,2,0,0,3,0
2-Seam Fastball,83.5,5,S,R,0,0,0,1,3,0
2-Seam Fastball,93.1,8,X,R,0,0,0,2,3,0
Slider,93.5,8,S,R,0,1,0,2,3,0
Changeup,88.4,14,B,R,1,1,0,2,3,0
Slider,84.5,14,B,R,2,1,0,2,3,0
Cutter,86.1,9,S,R,2,2,0,2,3,0
2-Seam Fastball,90.5,12,B,R,3,2,0,2,3,0
Slider,92.7,6,X,R,0,0,0,0,4,0
Cutter,83.2,8,S,R,0,1,0,0,4,0
4-Seam Fastball,89.3,14,S,R,0,2,0,0,4,0
Cutter,92.6,4,X,R,0,0,0,1,4,0
2-Seam Fastball,91.7,13,B,R,1,0,0,1,4,0
Slider,92.9,11,B,R,2,0,0,1,4,0
2-Seam Fastball,84.1,14,B,R,3,0,0,1,4,0
2-Seam Fastball,92.7,11,B,R,0,0,1,1,4,0
2-Seam Fastball,92.7,7,S,R,0,1,1,1,4,0
Cutter,92.4,7,X,L,0,0,1,2,4,0
Changeup,92.6,14,S,L,0,1,1,2,4,0
4-Seam Fastball,85.8,13,S,L,0,2,1,2,4,0
Slider,93.1,3,S,L,0,2,1,2,4,0
Cutter,84.9,13,B,L,1,2,1,2,4,0
Slider,90.7,4,X,L,0,0,0,0,5,0
Cutter,83.5,4,S,L,0,1,0,0,5,0
2-Seam Fastball,91.3,12,B,L,1,1,0,0,5,0
Slider,92.8,2,B,L,2,1,0,0,5,0
Cutter,82.3,14,S,L,2,2,0,0,5,0
2-Seam Fastball,91.5,1,S,L,0,0,0,1,5,0
Cutter,93.7,14,B,L,1,0,0,1,5,0
2-Seam Fastball,91.9,12,S,L,1,1,0,1,5,0
2-Seam Fastball,92.7,14,B,L,2,1,0,1,5,0
Slider,92.4,14,B,L,3,1,0,1,5,0
Slider,84.3,14,S,L,3,2,0,1,5,0
Changeup,85.1,8,S,R,0,0,0,2,5,0
Cutter,82.4,5,S,R,0,1,0,2,5,0
Slider,91.7,14,B,R,1,1,0,2,5,0
Slider,84.8,5,S,R,1,2,0,2,5,0
2-Seam Fastball,86,14,S,R,0,0,0,0,6,0
Slider,92.6,13,B,R,1,0,0,0,6,0
Cutter,84.9,9,S,R,1,1,0,0,6,0
Slider,92,9,S,R,1,2,0,0,6,0
2-Seam Fastball,84.3,14,B,R,2,2,0,0,6,0
Slider,92.3,14,B,R,3,2,0,0,6,0
2-Seam Fastball,83,14,B,R,0,0,1,0,6,0
2-Seam Fastball,92.5,9,S,R,0,1,1,0,6,0
Cutter,92.6,13,B,R,1,1,1,0,6,0
2-Seam Fastball,91.4,2,X,R,0,0,1,1,6,0
Slider,93.6,14,B,R,1,0,1,1,6,0
4-Seam Fastball,84.4,13,S,R,1,1,1,1,6,0
Slider,92.3,5,S,R,1,2,1,1,6,0
Cutter,85.9,14,S,R,0,0,1,2,6,0
2-Seam Fastball,89.9,5,X,R,0,0,1,2,6,0
2-Seam Fastball,92.4,13,X,L,0,0,0,0,7,0
4-Seam Fastball,92.7,13,B,L,1,0,0,0,7,0
2-Seam Fastball,91.3,8,S,L,1,1,0,0,7,0
Slider,92,9,X,L,0,0,1,0,7,0
Slider,84.9,14,B,L,1,0,1,0,7,0
Slider,82.9,14,S,L,1,1,1,0,7,0
Cutter,85.8,14,B,L,2,1,1,0,7,0
2-Seam Fastball,91.1,2,B,L,3,1,1,0,7,0
Slider,92.5,5,X,L,0,0,1,1,7,0
Slider,84.6,13,B,L,1,0,1,1,7,0
4-Seam Fastball,85.6,14,S,L,1,1,1,1,7,0
2-Seam Fastball,91.8,14,B,L,2,1,1,1,7,0
2-Seam Fastball,92,5,X,R,0,0,1,2,7,0
Slider,92.4,9,S,R,0,1,1,2,7,0
Slider,85.3,14,S,R,0,2,1,2,7,0
2-Seam Fastball,85.7,14,S,L,0,0,0,0,1,0
Slider,92.9,11,B,L,1,0,0,0,1,0
4-Seam Fastball,82.9,14,S,L,1,1,0,0,1,0
Slider,91.2,9,S,L,1,2,0,0,1,0
4-Seam Fastball,85.7,8,S,L,1,2,0,0,1,0
Slider,91,11,X,L,0,0,0,1,1,0
2-Seam Fastball,78.6,11,B,L,1,0,0,1,1,0
4-Seam Fastball,93.2,7,X,L,0,0,0,2,1,0
Cutter,94.5,9,S,L,0,1,0,2,1,0
Slider,92.3,3,S,L,0,2,0,2,1,0
Slider,83.9,14,B,L,1,2,0,2,1,0
2-Seam Fastball,85.5,14,B,L,2,2,0,2,1,0
Slider,92.6,14,B,L,3,2,0,2,1,0
Slider,85.8,7,X,R,0,0,0,0,2,0
2-Seam Fastball,83.5,6,S,R,0,1,0,0,2,0
2-Seam Fastball,92.4,7,X,L,0,0,0,1,2,0
Slider,92.5,13,B,L,1,0,0,1,2,0
Cutter,84.5,14,S,L,1,1,0,1,2,0
2-Seam Fastball,91.2,12,X,R,0,0,0,2,2,0
2-Seam Fastball,92.6,9,S,R,0,1,0,2,2,0
Slider,92.9,12,B,R,1,1,0,2,2,0
Slider,85.3,14,B,R,2,1,0,2,2,0
2-Seam Fastball,84.6,14,B,R,3,1,0,2,2,0
2-Seam Fastball,92.8,5,X,L,0,0,1,2,2,0
2-Seam Fastball,92,1,S,L,0,1,1,2,2,0
Slider,91.7,5,S,L,0,2,1,2,2,0
2-Seam Fastball,86.3,13,B,L,1,2,1,2,2,0
Changeup,92.6,2,S,R,0,0,0,0,3,0
Cutter,82,1,S,R,0,1,0,0,3,0
Slider,90.8,12,S,R,0,2,0,0,3,0
Cutter,86.4,14,B,R,1,2,0,0,3,0
Slider,90.7,12,X,R,0,0,1,0,3,0
2-Seam Fastball,84.1,8,S,R,0,1,1,0,3,0
2-Seam Fastball,92.5,11,X,L,0,0,1,0,3,0
2-Seam Fastball,93.2,4,S,L,0,1,1,0,3,0
Slider,93,12,B,L,1,1,1,0,3,0
Cutter,84.4,11,B,L,2,1,1,0,3,0
Cutter,91.2,14,S,L,2,2,1,0,3,0
Slider,91.4,2,X,L,0,0,1,2,3,0
Slider,83.9,1,S,L,0,1,1,2,3,0
Slider,85.4,14,B,L,1,1,1,2,3,0
Slider,84.4,5,X,L,0,0,0,0,4,0
Slider,84.2,11,B,L,1,0,0,0,4,0
Cutter,83.3,4,X,R,0,0,1,0,4,0
4-Seam Fastball,91.7,2,S,R,0,1,1,0,4,0
Slider,93.7,7,S,R,0,2,1,0,4,0
Cutter,86.9,5,S,R,0,2,1,0,4,0
Slider,91.6,6,S,R,0,2,0,1,4,0
Changeup,87.9,14,S,L,0,0,0,2,4,0
2-Seam Fastball,84.7,13,B,L,1,0,0,2,4,0
2-Seam Fastball,91.9,8,S,L,1,1,0,2,4,0
Slider,93.1,13,B,L,2,1,0,2,4,0
Cutter,84.6,5,X,R,0,0,1,2,4,0
