pitch_type,prev_pitch,prev_type,stand,balls,strikes,runner,outs_when_up,inning,run_diff
Hard,Hard,B,R,2,0,0,0,1,0
Hard,Hard,B,R,3,0,0,0,1,0
Hard,Hard,B,R,0,0,1,0,1,0
Hard,Hard,X,R,0,0,1,1,1,0
Breaker,Hard,S,R,0,1,1,1,1,0
Hard,Breaker,B,R,1,1,1,1,1,0
Hard,Hard,B,R,2,1,1,1,1,0
Breaker,Hard,X,L,0,0,0,0,2,0
Hard,Breaker,S,L,0,1,0,0,2,0
Hard,Hard,S,L,0,2,0,0,2,0
Hard,Hard,X,L,0,0,0,1,2,0
Breaker,Hard,B,L,1,0,0,1,2,0
Soft,Breaker,B,L,2,0,0,1,2,0
Hard,Soft,B,L,3,0,0,1,2,0
Hard,Hard,S,L,3,1,0,1,2,0
Breaker,Hard,B,L,0,0,1,1,2,0
Breaker,Breaker,S,L,0,1,1,1,2,0
Breaker,Breaker,S,L,0,2,1,1,2,0
Hard,Breaker,B,L,1,2,0,2,2,0
Breaker,Hard,B,L,2,2,0,2,2,0
Breaker,Breaker,S,R,0,0,0,0,3,0
Breaker,Breaker,S,R,0,1,0,0,3,0
Hard,Breaker,B,R,1,1,0,0,3,0
Breaker,Hard,B,R,2,1,0,0,3,0
Breaker,Breaker,S,R,2,2,0,0,3,0
Breaker,Breaker,B,R,3,2,0,0,3,0
Hard,Breaker,S,R,0,0,0,1,3,0
Hard,Hard,X,R,0,0,0,2,3,0
Breaker,Hard,S,R,0,1,0,2,3,0
Soft,Breaker,B,R,1,1,0,2,3,0
Breaker,Soft,B,R,2,1,0,2,3,0
Breaker,Breaker,S,R,2,2,0,2,3,0
Hard,Breaker,B,R,3,2,0,2,3,0
Breaker,Hard,X,R,0,0,0,0,4,0
Breaker,Breaker,S,R,0,1,0,0,4,0
Hard,Breaker,S,R,0,2,0,0,4,0
Breaker,Hard,X,R,0,0,0,1,4,0
Hard,Breaker,B,R,1,0,0,1,4,0
Breaker,Hard,B,R,2,0,0,1,4,0
Hard,Breaker,B,R,3,0,0,1,4,0
Hard,Hard,B,R,0,0,1,1,4,0
Hard,Hard,S,R,0,1,1,1,4,0
Breaker,Hard,X,L,0,0,1,2,4,0
Soft,Breaker,S,L,0,1,1,2,4,0
Hard,Soft,S,L,0,2,1,2,4,0
Breaker,Hard,S,L,0,2,1,2,4,0
Breaker,Breaker,B,L,1,2,1,2,4,0
Breaker,Breaker,X,L,0,0,0,0,5,0
Breaker,Breaker,S,L,0,1,0,0,5,0
Hard,Breaker,B,L,1,1,0,0,5,0
Breaker,Hard,B,L,2,1,0,0,5,0
Breaker,Breaker,S,L,2,2,0,0,5,0
Hard,Breaker,S,L,0,0,0,1,5,0
Breaker,Hard,B,L,1,0,0,1,5,0
Hard,Breaker,S,L,1,1,0,1,5,0
Hard,Hard,B,L,2,1,0,1,5,0
Breaker,Hard,B,L,3,1,0,1,5,0
Breaker,Breaker,S,L,3,2,0,1,5,0
Soft,Breaker,S,R,0,0,0,2,5,0
Breaker,Soft,S,R,0,1,0,2,5,0
Breaker,Breaker,B,R,1,1,0,2,5,0
Breaker,Breaker,S,R,1,2,0,2,5,0
Hard,Breaker,S,R,0,0,0,0,6,0
Breaker,Hard,B,R,1,0,0,0,6,0
Breaker,Breaker,S,R,1,1,0,0,6,0
Breaker,Breaker,S,R,1,2,0,0,6,0
Hard,Breaker,B,R,2,2,0,0,6,0
Breaker,Hard,B,R,3,2,0,0,6,0
Hard,Breaker,B,R,0,0,1,0,6,0
Hard,Hard,S,R,0,1,1,0,6,0
Breaker,Hard,B,R,1,1,1,0,6,0
Hard,Breaker,X,R,0,0,1,1,6,0
Breaker,Hard,B,R,1,0,1,1,6,0
Hard,Breaker,S,R,1,1,1,1,6,0
Breaker,Hard,S,R,1,2,1,1,6,0
Breaker,Breaker,S,R,0,0,1,2,6,0
Hard,Breaker,X,R,0,0,1,2,6,0
Hard,Hard,X,L,0,0,0,0,7,0
Hard,Hard,B,L,1,0,0,0,7,0
Hard,Hard,S,L,1,1,0,0,7,0
Breaker,Hard,X,L,0,0,1,0,7,0
Breaker,Breaker,B,L,1,0,1,0,7,0
